n,repeat,round,total_ms,avg_ms,first_result
1,3000,1,0.027128,9.04267e-06,1
1,3000,2,0.026701,8.90033e-06,1
1,3000,3,0.02669,8.89667e-06,1
2,3000,1,0.035178,1.1726e-05,5
2,3000,2,0.03508,1.16933e-05,5
2,3000,3,0.035107,1.17023e-05,5
3,3000,1,0.046968,1.5656e-05,14
3,3000,2,0.048423,1.6141e-05,14
3,3000,3,0.048352,1.61173e-05,14
4,3000,1,0.065115,2.1705e-05,30
4,3000,2,0.075102,2.5034e-05,30
4,3000,3,0.074924,2.49747e-05,30
5,3000,1,0.086929,2.89763e-05,55
5,3000,2,0.105108,3.5036e-05,55
5,3000,3,0.10483,3.49433e-05,55
6,3000,1,0.143289,4.7763e-05,91
6,3000,2,0.162334,5.41113e-05,91
6,3000,3,0.182015,6.06717e-05,91
7,3000,1,0.152181,5.0727e-05,140
7,3000,2,0.194314,6.47713e-05,140
7,3000,3,0.232641,7.7547e-05,140
8,3000,1,0.275696,9.18987e-05,204
8,3000,2,0.209743,6.99143e-05,204
8,3000,3,0.208372,6.94573e-05,204
9,3000,1,0.247049,8.23497e-05,285
9,3000,2,0.246733,8.22443e-05,285
9,3000,3,0.247203,8.2401e-05,285
10,3000,1,0.288848,9.62827e-05,385
10,3000,2,0.289651,9.65503e-05,385
10,3000,3,0.291266,9.70887e-05,385
11,3000,1,0.396924,0.000132308,396
11,3000,2,0.372399,0.000124133,396
11,3000,3,0.359436,0.000119812,396
12,3000,1,0.389838,0.000129946,420
12,3000,2,0.393061,0.00013102,420
12,3000,3,0.441391,0.00014713,420
13,3000,1,0.438944,0.000146315,459
13,3000,2,0.438976,0.000146325,459
13,3000,3,0.439392,0.000146464,459
14,3000,1,0.50299,0.000167663,515
14,3000,2,0.497319,0.000165773,515
14,3000,3,0.748157,0.000249386,515
15,3000,1,0.571077,0.000190359,590
15,3000,2,0.569055,0.000189685,590
15,3000,3,0.662824,0.000220941,590
16,3000,1,0.885501,0.000295167,686
16,3000,2,0.754092,0.000251364,686
16,3000,3,0.624036,0.000208012,686
17,3000,1,0.700789,0.000233596,805
17,3000,2,0.608858,0.000202953,805
17,3000,3,0.634401,0.000211467,805
18,3000,1,0.686135,0.000228712,813
18,3000,2,0.723697,0.000241232,813
18,3000,3,0.64231,0.000214103,813
19,3000,1,0.702804,0.000234268,831
19,3000,2,0.749052,0.000249684,831
19,3000,3,0.707817,0.000235939,831
20,3000,1,0.751837,0.000250612,861
20,3000,2,0.769011,0.000256337,861
20,3000,3,0.678831,0.000226277,861
21,3000,1,0.71299,0.000237663,865
21,3000,2,0.76096,0.000253653,865
21,3000,3,0.722885,0.000240962,865
22,3000,1,0.771428,0.000257143,875
22,3000,2,0.803864,0.000267955,875
22,3000,3,0.875236,0.000291745,875
23,3000,1,0.845809,0.000281936,893
23,3000,2,0.843448,0.000281149,893
23,3000,3,0.833321,0.000277774,893
24,3000,1,0.974525,0.000324842,921
24,3000,2,1.18153,0.000393843,921
24,3000,3,1.40864,0.000469548,921
25,3000,1,1.39756,0.000465852,961
25,3000,2,1.02309,0.00034103,961
25,3000,3,1.00041,0.00033347,961
26,3000,1,1.07098,0.000356995,1015
26,3000,2,1.14513,0.000381711,1015
26,3000,3,1.39255,0.000464183,1015
27,3000,1,1.12652,0.000375508,1085
27,3000,2,1.15643,0.000385478,1085
27,3000,3,1.15919,0.000386398,1085
28,3000,1,1.23072,0.00041024,1173
28,3000,2,1.59412,0.000531375,1173
28,3000,3,2.04833,0.000682777,1173
29,3000,1,1.65559,0.000551865,1281
29,3000,2,1.35362,0.000451206,1281
29,3000,3,1.41321,0.000471069,1281
30,3000,1,1.39097,0.000463656,1411
30,3000,2,1.4555,0.000485166,1411
30,3000,3,1.60147,0.000533824,1411
31,3000,1,1.5208,0.000506934,1425
31,3000,2,1.5065,0.000502167,1425
31,3000,3,1.49728,0.000499093,1425
32,3000,1,1.61074,0.000536913,1455
32,3000,2,2.01998,0.000673325,1455
32,3000,3,1.9314,0.000643799,1455
33,2000,1,1.22733,0.000613667,1503
33,2000,2,1.27254,0.00063627,1503
33,2000,3,1.14456,0.000572278,1503
34,2000,1,1.29095,0.000645472,1571
34,2000,2,1.21095,0.000605475,1571
34,2000,3,1.17569,0.000587846,1571
35,2000,1,1.37359,0.000686795,1576
35,2000,2,1.25293,0.000626465,1576
35,2000,3,1.50845,0.000754223,1576
36,2000,1,1.69793,0.000848966,1588
36,2000,2,1.72977,0.000864886,1588
36,2000,3,1.90328,0.000951638,1588
37,2000,1,1.38487,0.000692437,1609
37,2000,2,1.43629,0.000718143,1609
37,2000,3,1.62971,0.000814856,1609
38,2000,1,1.48365,0.000741827,1641
38,2000,2,1.459,0.000729498,1641
38,2000,3,1.448,0.000723999,1641
39,2000,1,2.07286,0.00103643,1686
39,2000,2,1.52449,0.000762243,1686
39,2000,3,1.54564,0.000772818,1686
40,2000,1,2.0732,0.0010366,1746
40,2000,2,1.67795,0.000838974,1746
40,2000,3,1.61201,0.000806004,1746
41,2000,1,1.71594,0.00085797,1753
41,2000,2,1.79972,0.000899858,1753
41,2000,3,1.9663,0.000983152,1753
42,2000,1,1.84804,0.000924019,1769
42,2000,2,1.83179,0.000915895,1769
42,2000,3,1.76699,0.000883496,1769
43,2000,1,1.93516,0.000967581,1796
43,2000,2,2.21853,0.00110926,1796
43,2000,3,1.92176,0.000960878,1796
44,2000,1,1.9502,0.000975102,1836
44,2000,2,1.96635,0.000983175,1836
44,2000,3,1.94771,0.000973853,1836
45,2000,1,2.50944,0.00125472,1891
45,2000,2,2.57417,0.00128709,1891
45,2000,3,2.63197,0.00131599,1891
46,2000,1,2.52459,0.00126229,1963
46,2000,2,2.4783,0.00123915,1963
46,2000,3,2.52151,0.00126076,1963
47,2000,1,2.473,0.0012365,2054
47,2000,2,2.81095,0.00140547,2054
47,2000,3,2.79365,0.00139683,2054
48,2000,1,2.87303,0.00143651,2166
48,2000,2,2.7197,0.00135985,2166
48,2000,3,2.34724,0.00117362,2166
49,2000,1,2.38629,0.00119315,2301
49,2000,2,3.20737,0.00160369,2301
49,2000,3,2.66927,0.00133464,2301
50,2000,1,2.48658,0.00124329,2461
50,2000,2,2.52654,0.00126327,2461
50,2000,3,2.50615,0.00125307,2461
51,2000,1,2.60643,0.00130322,2478
51,2000,2,3.0913,0.00154565,2478
51,2000,3,3.65896,0.00182948,2478
52,2000,1,2.78332,0.00139166,2480
52,2000,2,3.08034,0.00154017,2480
52,2000,3,2.74786,0.00137393,2480
53,2000,1,3.06703,0.00153352,2486
53,2000,2,3.26424,0.00163212,2486
53,2000,3,2.84223,0.00142112,2486
54,2000,1,2.9359,0.00146795,2498
54,2000,2,2.96365,0.00148182,2498
54,2000,3,3.12639,0.00156319,2498
55,2000,1,4.24821,0.00212411,2518
55,2000,2,4.22226,0.00211113,2518
55,2000,3,3.50882,0.00175441,2518
56,2000,1,3.2015,0.00160075,2548
56,2000,2,3.40991,0.00170495,2548
56,2000,3,3.95294,0.00197647,2548
57,2000,1,3.81076,0.00190538,2590
57,2000,2,4.33629,0.00216815,2590
57,2000,3,5.00615,0.00250307,2590
58,2000,1,4.29272,0.00214636,2646
58,2000,2,3.47737,0.00173868,2646
58,2000,3,3.5744,0.0017872,2646
59,2000,1,3.86679,0.0019334,2718
59,2000,2,4.03999,0.00202,2718
59,2000,3,3.67457,0.00183729,2718
60,2000,1,3.68635,0.00184318,2808
60,2000,2,3.88176,0.00194088,2808
60,2000,3,4.826,0.002413,2808
61,2000,1,4.83551,0.00241775,2818
61,2000,2,4.92843,0.00246421,2818
61,2000,3,5.06178,0.00253089,2818
62,2000,1,5.47723,0.00273862,2840
62,2000,2,4.10521,0.00205261,2840
62,2000,3,4.43412,0.00221706,2840
63,2000,1,6.05878,0.00302939,2876
63,2000,2,5.74494,0.00287247,2876
63,2000,3,4.69741,0.0023487,2876
64,2000,1,5.12549,0.00256275,2928
64,2000,2,4.42488,0.00221244,2928
64,2000,3,4.47409,0.00223704,2928
65,1000,1,2.69062,0.00269062,2998
65,1000,2,3.33269,0.00333269,2998
65,1000,3,2.79278,0.00279278,2998
66,1000,1,2.60519,0.00260519,3088
66,1000,2,2.47308,0.00247308,3088
66,1000,3,2.62815,0.00262815,3088
67,1000,1,3.28171,0.00328171,3200
67,1000,2,3.70507,0.00370507,3200
67,1000,3,2.77222,0.00277222,3200
68,1000,1,2.77888,0.00277888,3336
68,1000,2,2.70302,0.00270302,3336
68,1000,3,2.76678,0.00276678,3336
69,1000,1,3.94551,0.00394552,3345
69,1000,2,3.66274,0.00366274,3345
69,1000,3,2.97291,0.00297291,3345
70,1000,1,2.90013,0.00290013,3365
70,1000,2,2.96178,0.00296178,3365
70,1000,3,3.38897,0.00338897,3365
71,1000,1,3.13624,0.00313624,3368
71,1000,2,3.03359,0.00303359,3368
71,1000,3,3.11662,0.00311662,3368
72,1000,1,3.43987,0.00343987,3376
72,1000,2,3.47529,0.00347529,3376
72,1000,3,3.46134,0.00346133,3376
73,1000,1,3.27727,0.00327728,3391
73,1000,2,3.37826,0.00337826,3391
73,1000,3,3.95091,0.00395091,3391
74,1000,1,3.53518,0.00353518,3415
74,1000,2,3.43355,0.00343355,3415
74,1000,3,3.4126,0.0034126,3415
75,1000,1,3.65069,0.00365069,3450
75,1000,2,3.6349,0.0036349,3450
75,1000,3,3.63476,0.00363476,3450
76,1000,1,3.61511,0.00361511,3498
76,1000,2,3.47972,0.00347972,3498
76,1000,3,3.87208,0.00387208,3498
77,1000,1,4.65954,0.00465954,3561
77,1000,2,4.11062,0.00411062,3561
77,1000,3,3.85333,0.00385333,3561
78,1000,1,4.75753,0.00475753,3641
78,1000,2,4.1513,0.0041513,3641
78,1000,3,4.0334,0.0040334,3641
79,1000,1,4.36404,0.00436404,3740
79,1000,2,4.66525,0.00466525,3740
79,1000,3,4.01808,0.00401808,3740
80,1000,1,4.15645,0.00415645,3860
80,1000,2,4.11062,0.00411062,3860
80,1000,3,4.65323,0.00465323,3860
81,1000,1,4.25583,0.00425583,3873
81,1000,2,4.30207,0.00430207,3873
81,1000,3,4.25861,0.00425861,3873
82,1000,1,5.02107,0.00502107,3901
82,1000,2,4.55949,0.00455949,3901
82,1000,3,4.60479,0.00460479,3901
83,1000,1,5.4489,0.0054489,3946
83,1000,2,5.60707,0.00560707,3946
83,1000,3,4.98019,0.00498019,3946
84,1000,1,5.42471,0.00542471,4010
84,1000,2,4.9158,0.0049158,4010
84,1000,3,4.77914,0.00477914,4010
85,1000,1,4.88686,0.00488686,4095
85,1000,2,5.98843,0.00598843,4095
85,1000,3,4.96198,0.00496198,4095
86,1000,1,4.98654,0.00498654,4101
86,1000,2,5.68129,0.00568129,4101
86,1000,3,4.86466,0.00486466,4101
87,1000,1,5.17136,0.00517136,4115
87,1000,2,4.03665,0.00403665,4115
87,1000,3,4.28121,0.00428121,4115
88,1000,1,5.04812,0.00504811,4139
88,1000,2,4.76398,0.00476398,4139
88,1000,3,4.0244,0.0040244,4139
89,1000,1,4.55575,0.00455575,4175
89,1000,2,4.36055,0.00436055,4175
89,1000,3,6.83218,0.00683218,4175
90,1000,1,5.36389,0.00536389,4225
90,1000,2,5.38621,0.00538621,4225
90,1000,3,5.49128,0.00549128,4225
91,1000,1,5.48483,0.00548483,4231
91,1000,2,6.56967,0.00656967,4231
91,1000,3,4.60617,0.00460617,4231
92,1000,1,4.57343,0.00457343,4245
92,1000,2,5.33149,0.00533149,4245
92,1000,3,5.16282,0.00516282,4245
93,1000,1,4.71455,0.00471455,4269
93,1000,2,5.28077,0.00528077,4269
93,1000,3,4.53683,0.00453683,4269
94,1000,1,4.92714,0.00492714,4305
94,1000,2,4.8687,0.0048687,4305
94,1000,3,4.95262,0.00495262,4305
95,1000,1,6.21889,0.00621889,4355
95,1000,2,5.23102,0.00523102,4355
95,1000,3,4.76627,0.00476627,4355
96,1000,1,5.79268,0.00579268,4421
96,1000,2,4.94034,0.00494034,4421
96,1000,3,4.70857,0.00470857,4421
97,1000,1,4.85125,0.00485125,4505
97,1000,2,4.81368,0.00481368,4505
97,1000,3,4.8629,0.0048629,4505
98,1000,1,4.9617,0.0049617,4609
98,1000,2,5.26074,0.00526074,4609
98,1000,3,5.18693,0.00518693,4609
99,1000,1,5.64244,0.00564244,4735
99,1000,2,5.03281,0.00503281,4735
99,1000,3,5.85447,0.00585447,4735
100,1000,1,5.30019,0.00530019,4885
100,1000,2,5.1515,0.0051515,4885
100,1000,3,7.51689,0.00751689,4885
101,1000,1,6.51118,0.00651118,4901
101,1000,2,5.57616,0.00557616,4901
101,1000,3,5.38503,0.00538503,4901
102,1000,1,5.94386,0.00594386,4935
102,1000,2,5.78329,0.00578329,4935
102,1000,3,5.83954,0.00583954,4935
103,1000,1,8.82817,0.00882817,4938
103,1000,2,9.31251,0.00931251,4938
103,1000,3,7.45401,0.00745401,4938
104,1000,1,5.60984,0.00560984,4946
104,1000,2,5.69507,0.00569507,4946
104,1000,3,5.9532,0.0059532,4946
105,1000,1,6.00238,0.00600238,4961
105,1000,2,5.92078,0.00592078,4961
105,1000,3,6.16075,0.00616075,4961
106,1000,1,6.07202,0.00607202,4985
106,1000,2,5.9951,0.0059951,4985
106,1000,3,5.7458,0.0057458,4985
107,1000,1,8.62103,0.00862103,5020
107,1000,2,7.73212,0.00773212,5020
107,1000,3,8.24238,0.00824238,5020
108,1000,1,7.73519,0.00773519,5068
108,1000,2,8.23805,0.00823805,5068
108,1000,3,7.97099,0.00797099,5068
109,1000,1,8.29196,0.00829196,5131
109,1000,2,6.27894,0.00627894,5131
109,1000,3,5.50709,0.00550709,5131
110,1000,1,7.25805,0.00725805,5211
110,1000,2,6.65531,0.00665531,5211
110,1000,3,7.1593,0.0071593,5211
111,1000,1,6.88971,0.00688971,5220
111,1000,2,5.91256,0.00591256,5220
111,1000,3,5.9654,0.0059654,5220
112,1000,1,5.66896,0.00566896,5240
112,1000,2,6.73182,0.00673182,5240
112,1000,3,5.65926,0.00565926,5240
113,1000,1,5.80419,0.00580419,5273
113,1000,2,8.2436,0.0082436,5273
113,1000,3,6.99608,0.00699608,5273
114,1000,1,8.66345,0.00866345,5321
114,1000,2,8.96633,0.00896633,5321
114,1000,3,8.06437,0.00806437,5321
115,1000,1,10.0366,0.0100366,5386
115,1000,2,8.62528,0.00862528,5386
115,1000,3,8.8551,0.0088551,5386
116,1000,1,8.51887,0.00851887,5470
116,1000,2,7.66218,0.00766218,5470
116,1000,3,7.08438,0.00708438,5470
117,1000,1,6.47396,0.00647396,5575
117,1000,2,6.54971,0.00654971,5575
117,1000,3,6.10687,0.00610687,5575
118,1000,1,6.37813,0.00637813,5703
118,1000,2,6.49365,0.00649365,5703
118,1000,3,8.79296,0.00879296,5703
119,1000,1,8.58516,0.00858516,5856
119,1000,2,10.5149,0.0105149,5856
119,1000,3,6.92348,0.00692348,5856
120,1000,1,6.81547,0.00681547,5866
120,1000,2,7.10806,0.00710807,5866
120,1000,3,6.74775,0.00674775,5866
121,1000,1,8.07985,0.00807985,5868
121,1000,2,6.96893,0.00696893,5868
121,1000,3,8.78607,0.00878607,5868
122,1000,1,6.98002,0.00698002,5874
122,1000,2,8.0492,0.0080492,5874
122,1000,3,7.01359,0.00701359,5874
123,1000,1,7.76697,0.00776697,5886
123,1000,2,7.87736,0.00787736,5886
123,1000,3,7.29039,0.00729039,5886
124,1000,1,10.121,0.010121,5906
124,1000,2,6.94583,0.00694583,5906
124,1000,3,8.05965,0.00805965,5906
125,1000,1,7.12871,0.00712871,5936
125,1000,2,9.26936,0.00926936,5936
125,1000,3,7.09175,0.00709175,5936
126,1000,1,7.42709,0.00742709,5978
126,1000,2,7.61887,0.00761887,5978
126,1000,3,12.6371,0.0126371,5978
127,1000,1,9.79533,0.00979533,6034
127,1000,2,7.59715,0.00759715,6034
127,1000,3,9.08128,0.00908128,6034
128,1000,1,7.53155,0.00753155,6106
128,1000,2,11.023,0.011023,6106
128,1000,3,9.01325,0.00901325,6106
129,500,1,3.96604,0.00793209,6196
129,500,2,5.68521,0.0113704,6196
129,500,3,3.86513,0.00773026,6196
130,500,1,4.10072,0.00820144,6306
130,500,2,5.17774,0.0103555,6306
130,500,3,4.02875,0.0080575,6306
131,500,1,4.01423,0.00802847,6318
131,500,2,4.0779,0.00815579,6318
131,500,3,4.05062,0.00810124,6318
132,500,1,4.07542,0.00815084,6344
132,500,2,4.36469,0.00872938,6344
132,500,3,4.05782,0.00811565,6344
133,500,1,4.13364,0.00826727,6386
133,500,2,4.63481,0.00926962,6386
133,500,3,4.24615,0.00849231,6386
134,500,1,5.93619,0.0118724,6446
134,500,2,4.28984,0.00857967,6446
134,500,3,4.24695,0.0084939,6446
135,500,1,4.37417,0.00874835,6526
135,500,2,5.64333,0.0112867,6526
135,500,3,4.44927,0.00889853,6526
136,500,1,4.37279,0.00874558,6628
136,500,2,5.43466,0.0108693,6628
136,500,3,4.59979,0.00919958,6628
137,500,1,4.37009,0.00874017,6635
137,500,2,4.5125,0.00902501,6635
137,500,3,5.46086,0.0109217,6635
138,500,1,4.4026,0.00880521,6651
138,500,2,4.33012,0.00866024,6651
138,500,3,7.02543,0.0140509,6651
139,500,1,4.92821,0.00985641,6678
139,500,2,4.52779,0.00905557,6678
