n,repeat,round,total_ms,avg_ms,first_result
1,3000,1,0.027068,9.02267e-06,1
1,3000,2,0.026858,8.95267e-06,1
1,3000,3,0.026826,8.942e-06,1
2,3000,1,0.033621,1.1207e-05,5
2,3000,2,0.033595,1.11983e-05,5
2,3000,3,0.033455,1.11517e-05,5
3,3000,1,0.045456,1.5152e-05,14
3,3000,2,0.045793,1.52643e-05,14
3,3000,3,0.045505,1.51683e-05,14
4,3000,1,0.058635,1.9545e-05,30
4,3000,2,0.076978,2.56593e-05,30
4,3000,3,0.067028,2.23427e-05,30
5,3000,1,0.087166,2.90553e-05,55
5,3000,2,0.092047,3.06823e-05,55
5,3000,3,0.093601,3.12003e-05,55
6,3000,1,0.115499,3.84997e-05,91
6,3000,2,0.133815,4.4605e-05,91
6,3000,3,0.119529,3.9843e-05,91
7,3000,1,0.157969,5.26563e-05,140
7,3000,2,0.194704,6.49013e-05,140
7,3000,3,0.149651,4.98837e-05,140
8,3000,1,0.205837,6.86123e-05,204
8,3000,2,0.203872,6.79573e-05,204
8,3000,3,0.202835,6.76117e-05,204
9,3000,1,0.231641,7.72137e-05,285
9,3000,2,0.23207,7.73567e-05,285
9,3000,3,0.231175,7.70583e-05,285
10,3000,1,0.285871,9.52903e-05,385
10,3000,2,0.625744,0.000208581,385
10,3000,3,0.271922,9.06407e-05,385
11,3000,1,0.310012,0.000103337,396
11,3000,2,0.361918,0.000120639,396
11,3000,3,0.309994,0.000103331,396
12,3000,1,0.369844,0.000123281,420
12,3000,2,0.350319,0.000116773,420
12,3000,3,0.350814,0.000116938,420
13,3000,1,0.414892,0.000138297,459
13,3000,2,0.442016,0.000147339,459
13,3000,3,0.397003,0.000132334,459
14,3000,1,0.421477,0.000140492,515
14,3000,2,0.445025,0.000148342,515
14,3000,3,0.443257,0.000147752,515
15,3000,1,0.502934,0.000167645,590
15,3000,2,0.469346,0.000156449,590
15,3000,3,0.470616,0.000156872,590
16,3000,1,0.525074,0.000175025,686
16,3000,2,0.632895,0.000210965,686
16,3000,3,0.548639,0.00018288,686
17,3000,1,0.630783,0.000210261,805
17,3000,2,0.624668,0.000208223,805
17,3000,3,0.611918,0.000203973,805
