n,data_bytes,data_kb,data_mb,expected,result,inner_loop,avg_time_ms,min_time_ms,time_per_elem_ns
1000,4000,3.9062,0.003815,1000,1000,50000,10.810689,9.766718,0.216214
2000,8000,7.8125,0.007629,2000,2000,50000,20.726323,19.873417,0.207263
3000,12000,11.7188,0.011444,3000,3000,50000,33.787046,30.051753,0.225247
4000,16000,15.6250,0.015259,4000,4000,50000,36.550151,31.117272,0.182751
5000,20000,19.5312,0.019073,5000,5000,20000,16.321890,14.166286,0.163219
6000,24000,23.4375,0.022888,6000,6000,20000,17.544036,16.741411,0.146200
7000,28000,27.3438,0.026703,7000,7000,20000,20.027171,19.489266,0.143051
8000,32000,31.2500,0.030518,8000,8000,20000,24.962919,22.355627,0.156018
9000,36000,35.1562,0.034332,9000,9000,20000,28.077561,25.251916,0.155986
10000,40000,39.0625,0.038147,10000,10000,20000,28.477271,27.881906,0.142386
11000,44000,42.9688,0.041962,11000,11000,20000,35.664736,31.642351,0.162112
12000,48000,46.8750,0.045776,12000,12000,20000,39.550603,37.701833,0.164794
13000,52000,50.7812,0.049591,13000,13000,20000,47.235047,41.133570,0.181673
14000,56000,54.6875,0.053406,14000,14000,20000,45.104460,44.108176,0.161087
15000,60000,58.5938,0.057220,15000,15000,20000,48.947190,47.211431,0.163157
16000,64000,62.5000,0.061035,16000,16000,20000,55.299797,51.255463,0.172812
17000,68000,66.4062,0.064850,17000,17000,5000,14.308519,13.586430,0.168336
18000,72000,70.3125,0.068665,18000,18000,5000,14.684681,14.470675,0.163163
19000,76000,74.2188,0.072479,19000,19000,5000,16.063200,15.131339,0.169086
20000,80000,78.1250,0.076294,20000,20000,5000,18.133032,15.939881,0.181330
21000,84000,82.0312,0.080109,21000,21000,5000,17.433080,16.745275,0.166029
22000,88000,85.9375,0.083923,22000,22000,5000,20.413304,17.526841,0.185575
23000,92000,89.8438,0.087738,23000,23000,5000,20.133856,18.304855,0.175077
24000,96000,93.7500,0.091553,24000,24000,5000,21.865346,19.321615,0.182211
25000,100000,97.6562,0.095367,25000,25000,5000,18.649993,17.937863,0.149200
26000,104000,101.5625,0.099182,26000,26000,5000,20.045999,18.573711,0.154200
27000,108000,105.4688,0.102997,27000,27000,5000,24.822889,19.895342,0.183873
28000,112000,109.3750,0.106812,28000,28000,5000,24.431282,20.558500,0.174509
29000,116000,113.2812,0.110626,29000,29000,5000,25.359491,23.145713,0.174893
30000,120000,117.1875,0.114441,30000,30000,5000,29.032320,21.406996,0.193549
31000,124000,121.0938,0.118256,31000,31000,5000,24.501737,22.069535,0.158076
32000,128000,125.0000,0.122070,32000,32000,5000,28.946632,26.489897,0.180916
33000,132000,128.9062,0.125885,33000,33000,5000,29.141791,27.623531,0.176617
34000,136000,132.8125,0.129700,34000,34000,5000,31.047764,27.074421,0.182634
35000,140000,136.7188,0.133514,35000,35000,5000,26.093621,24.912124,0.149106
36000,144000,140.6250,0.137329,36000,36000,5000,31.569880,25.468000,0.175388
37000,148000,144.5312,0.141144,37000,37000,5000,28.512958,26.443925,0.154124
38000,152000,148.4375,0.144958,38000,38000,5000,29.719002,27.374759,0.156416
39000,156000,152.3438,0.148773,39000,39000,5000,28.546118,27.485986,0.146390
40000,160000,156.2500,0.152588,40000,40000,5000,31.634445,28.789593,0.158172
41000,164000,160.1562,0.156403,41000,41000,5000,30.978042,28.972829,0.151112
42000,168000,164.0625,0.160217,42000,42000,5000,37.699312,31.178890,0.179521
43000,172000,167.9688,0.164032,43000,43000,5000,35.732429,30.695704,0.166197
44000,176000,171.8750,0.167847,44000,44000,5000,36.695750,31.414917,0.166799
45000,180000,175.7812,0.171661,45000,45000,5000,32.869200,31.697572,0.146085
46000,184000,179.6875,0.175476,46000,46000,5000,43.273922,34.886494,0.188147
47000,188000,183.5938,0.179291,47000,47000,5000,39.805320,37.556376,0.169384
48000,192000,187.5000,0.183105,48000,48000,5000,40.293667,33.710815,0.167890
49000,196000,191.4062,0.186920,49000,49000,5000,37.778311,34.328857,0.154197
50000,200000,195.3125,0.190735,50000,50000,5000,43.943469,35.734255,0.175774
51000,204000,199.2188,0.194550,51000,51000,5000,42.629890,40.250577,0.167176
52000,208000,203.1250,0.198364,52000,52000,5000,42.891291,41.155169,0.164967
53000,212000,207.0312,0.202179,53000,53000,5000,45.730514,42.927098,0.172568
54000,216000,210.9375,0.205994,54000,54000,5000,49.987821,44.256444,0.185140
55000,220000,214.8438,0.209808,55000,55000,5000,46.439757,42.695983,0.168872
56000,224000,218.7500,0.213623,56000,56000,5000,45.541378,39.289215,0.162648
57000,228000,222.6562,0.217438,57000,57000,5000,49.543573,42.049297,0.173837
58000,232000,226.5625,0.221252,58000,58000,5000,48.913102,46.013393,0.168666
59000,236000,230.4688,0.225067,59000,59000,5000,52.032563,46.690509,0.176382
60000,240000,234.3750,0.228882,60000,60000,5000,52.060780,47.339666,0.173536
61000,244000,238.2812,0.232697,61000,61000,5000,51.785138,48.304242,0.169787
62000,248000,242.1875,0.236511,62000,62000,5000,56.619162,49.347535,0.182642
63000,252000,246.0938,0.240326,63000,63000,5000,55.129212,44.498148,0.175013
64000,256000,250.0000,0.244141,64000,64000,5000,53.019711,45.092278,0.165687
65000,260000,253.9062,0.247955,65000,65000,5000,49.873182,45.518455,0.153456
66000,264000,257.8125,0.251770,66000,66000,1000,10.008848,9.213850,0.151649
67000,268000,261.7188,0.255585,67000,67000,1000,11.393378,9.426130,0.170050
68000,272000,265.6250,0.259399,68000,68000,1000,11.167095,9.532297,0.164222
69000,276000,269.5312,0.263214,69000,69000,1000,11.454711,9.611933,0.166010
70000,280000,273.4375,0.267029,70000,70000,1000,10.349986,9.815327,0.147857
71000,284000,277.3438,0.270844,71000,71000,1000,10.140268,9.932429,0.142821
72000,288000,281.2500,0.274658,72000,72000,1000,10.642504,10.058868,0.147813
73000,292000,285.1562,0.278473,73000,73000,1000,12.751900,10.202805,0.174684
74000,296000,289.0625,0.282288,74000,74000,1000,11.549888,10.362310,0.156080
75000,300000,292.9688,0.286102,75000,75000,1000,17.761253,10.575148,0.236817
76000,304000,296.8750,0.289917,76000,76000,1000,11.834056,10.802294,0.155711
77000,308000,300.7812,0.293732,77000,77000,1000,12.247332,10.885730,0.159056
78000,312000,304.6875,0.297546,78000,78000,1000,13.063550,10.855829,0.167481
79000,316000,308.5938,0.301361,79000,79000,1000,11.431990,11.016344,0.144709
80000,320000,312.5000,0.305176,80000,80000,1000,13.028585,11.170515,0.162857
81000,324000,316.4062,0.308990,81000,81000,1000,13.507587,11.382237,0.166760
82000,328000,320.3125,0.312805,82000,82000,1000,11.675609,11.446410,0.142385
83000,332000,324.2188,0.316620,83000,83000,1000,12.218864,11.592670,0.147215
84000,336000,328.1250,0.320435,84000,84000,1000,13.226152,11.728978,0.157454
85000,340000,332.0312,0.324249,85000,85000,1000,12.185254,11.869646,0.143356
86000,344000,335.9375,0.328064,86000,86000,1000,16.065942,12.489052,0.186813
87000,348000,339.8438,0.331879,87000,87000,1000,12.666063,12.209134,0.145587
88000,352000,343.7500,0.335693,88000,88000,1000,13.346054,12.268115,0.151660
89000,356000,347.6562,0.339508,89000,89000,1000,12.945949,12.407096,0.145460
90000,360000,351.5625,0.343323,90000,90000,1000,14.953771,12.609695,0.166153
91000,364000,355.4688,0.347137,91000,91000,1000,13.534470,13.082042,0.148730
92000,368000,359.3750,0.350952,92000,92000,1000,17.528949,13.498200,0.190532
93000,372000,363.2812,0.354767,93000,93000,1000,13.518780,13.046566,0.145363
94000,376000,367.1875,0.358582,94000,94000,1000,13.589107,13.102938,0.144565
95000,380000,371.0938,0.362396,95000,95000,1000,14.331581,13.251764,0.150859
96000,384000,375.0000,0.366211,96000,96000,1000,14.578185,13.638356,0.151856
97000,388000,378.9062,0.370026,97000,97000,1000,14.341614,13.550061,0.147852
98000,392000,382.8125,0.373840,98000,98000,1000,14.448104,13.647776,0.147430
99000,396000,386.7188,0.377655,99000,99000,1000,14.968176,13.924408,0.151194
100000,400000,390.6250,0.381470,100000,100000,1000,14.869930,14.020726,0.148699
101000,404000,394.5312,0.385284,101000,101000,1000,14.862257,14.152275,0.147151
102000,408000,398.4375,0.389099,102000,102000,1000,17.377875,14.527883,0.170371
103000,412000,402.3438,0.392914,103000,103000,1000,19.279612,14.513271,0.187181
104000,416000,406.2500,0.396729,104000,104000,1000,15.636538,14.585427,0.150351
105000,420000,410.1562,0.400543,105000,105000,1000,16.980774,14.711455,0.161722
106000,424000,414.0625,0.404358,106000,106000,1000,21.772604,16.479499,0.205402
107000,428000,417.9688,0.408173,107000,107000,1000,17.539403,15.322057,0.163920
108000,432000,421.8750,0.411987,108000,108000,1000,16.131881,15.321501,0.149369
109000,436000,425.7812,0.415802,109000,109000,1000,15.961994,15.362476,0.146440
110000,440000,429.6875,0.419617,110000,110000,1000,15.707849,15.410516,0.142799
111000,444000,433.5938,0.423431,111000,111000,1000,16.235901,15.686458,0.146269
112000,448000,437.5000,0.427246,112000,112000,1000,23.551332,16.091791,0.210280
113000,452000,441.4062,0.431061,113000,113000,1000,17.823791,15.882967,0.157733
114000,456000,445.3125,0.434875,114000,114000,1000,18.397913,15.940902,0.161385
115000,460000,449.2188,0.438690,115000,115000,1000,18.451749,16.127393,0.160450
116000,464000,453.1250,0.442505,116000,116000,1000,17.457815,16.767853,0.150498
117000,468000,457.0312,0.446320,117000,117000,1000,17.380265,16.708341,0.148549
118000,472000,460.9375,0.450134,118000,118000,1000,17.168711,16.942298,0.145498
119000,476000,464.8438,0.453949,119000,119000,1000,21.249775,17.203033,0.178570
120000,480000,468.7500,0.457764,120000,120000,1000,17.458680,17.042973,0.145489
121000,484000,472.6562,0.461578,121000,121000,1000,19.604675,17.259000,0.162022
122000,488000,476.5625,0.465393,122000,122000,1000,21.650615,17.615409,0.177464
123000,492000,480.4688,0.469208,123000,123000,1000,25.203495,17.832295,0.204906
124000,496000,484.3750,0.473022,124000,124000,1000,19.706020,18.120674,0.158920
125000,500000,488.2812,0.476837,125000,125000,1000,20.931185,18.782209,0.167449
126000,504000,492.1875,0.480652,126000,126000,1000,20.246528,18.029550,0.160687
127000,508000,496.0938,0.484467,127000,127000,1000,23.415921,18.508905,0.184377
128000,512000,500.0000,0.488281,128000,128000,1000,21.693257,18.500826,0.169479
129000,516000,503.9062,0.492096,129000,129000,1000,20.664880,18.585752,0.160193
130000,520000,507.8125,0.495911,130000,130000,1000,23.376665,18.835277,0.179821
131000,524000,511.7188,0.499725,131000,131000,1000,21.844005,19.097550,0.166748
132000,528000,515.6250,0.503540,132000,132000,1000,24.776603,19.034806,0.187702
133000,532000,519.5312,0.507355,133000,133000,1000,23.820380,18.856332,0.179101
134000,536000,523.4375,0.511169,134000,134000,1000,24.617251,20.213764,0.183711
135000,540000,527.3438,0.514984,135000,135000,1000,27.219657,20.571305,0.201627
136000,544000,531.2500,0.518799,136000,136000,1000,23.587541,22.116802,0.173438
137000,548000,535.1562,0.522614,137000,137000,1000,24.567008,22.457236,0.179321
138000,552000,539.0625,0.526428,138000,138000,1000,24.498751,22.002420,0.177527
139000,556000,542.9688,0.530243,139000,139000,1000,23.836832,22.130318,0.171488
