n,data_bytes,data_kb,data_mb,expected,inner_loop,naive_result,naive_avg_ms,naive_min_ms,naive_time_per_elem_ns,way2_result,way2_avg_ms,way2_min_ms,way2_time_per_elem_ns,way2_speedup_vs_naive,way4_result,way4_avg_ms,way4_min_ms,way4_time_per_elem_ns,way4_speedup_vs_naive,way8_result,way8_avg_ms,way8_min_ms,way8_time_per_elem_ns,way8_speedup_vs_naive,way16_result,way16_avg_ms,way16_min_ms,way16_time_per_elem_ns,way16_speedup_vs_naive,recursive_result,recursive_avg_ms,recursive_min_ms,recursive_time_per_elem_ns,recursive_speedup_vs_naive,iterative_result,iterative_avg_ms,iterative_min_ms,iterative_time_per_elem_ns,iterative_speedup_vs_naive,divide_result,divide_avg_ms,divide_min_ms,divide_time_per_elem_ns,divide_speedup_vs_naive,stdacc_result,stdacc_avg_ms,stdacc_min_ms,stdacc_time_per_elem_ns,stdacc_speedup_vs_naive
1000,4000,3.9062,0.003815,1000,50000,1000,5.612471,5.479602,0.112249,1000,5.862390,5.613692,0.117248,0.957369,1000,5.427526,5.113581,0.108551,1.034075,1000,5.522891,5.104368,0.110458,1.016220,1000,6.681247,6.380627,0.133625,0.840033,1000,36.527737,36.089982,0.730555,0.153650,1000,18.737057,17.803757,0.374741,0.299539,1000,5.676326,5.445991,0.113527,0.988751,1000,5.684380,5.362415,0.113688,0.987350
1500,6000,5.8594,0.005722,1500,50000,1500,9.019348,8.239691,0.120258,1500,8.419242,8.256126,0.112257,1.071278,1500,8.144490,7.390115,0.108593,1.107417,1500,8.484420,7.894151,0.113126,1.063048,1500,9.471470,9.044188,0.126286,0.952265,1500,59.139525,57.029090,0.788527,0.152510,1500,27.284689,26.038368,0.363796,0.330564,1500,8.966429,8.220748,0.119552,1.005902,1500,8.796971,8.263107,0.117293,1.025279
2000,8000,7.8125,0.007629,2000,50000,2000,11.929597,11.740330,0.119296,2000,11.551870,11.242062,0.115519,1.032698,2000,10.745097,10.629987,0.107451,1.110236,2000,11.234064,10.393004,0.112341,1.061913,2000,12.787752,12.487471,0.127878,0.932892,2000,76.842779,73.151181,0.768428,0.155247,2000,36.400331,35.180921,0.364003,0.327733,2000,12.326753,12.154253,0.123268,0.967781,2000,12.066243,12.009193,0.120662,0.988675
2500,10000,9.7656,0.009537,2500,50000,2500,15.185460,14.292164,0.121484,2500,14.368714,14.285012,0.114950,1.056842,2500,13.661790,13.586057,0.109294,1.111528,2500,14.229470,13.519999,0.113836,1.067184,2500,16.044784,15.681858,0.128358,0.946442,2500,105.891857,100.308638,0.847135,0.143405,2500,44.459011,43.958321,0.355672,0.341561,2500,15.734266,15.506028,0.125874,0.965120,2500,15.110290,15.010231,0.120882,1.004975
3000,12000,11.7188,0.011444,3000,50000,3000,18.240915,17.289560,0.121606,3000,17.214957,16.515143,0.114766,1.059597,3000,16.360851,16.041897,0.109072,1.114912,3000,16.977963,16.000590,0.113186,1.074388,3000,18.786432,18.182139,0.125243,0.970962,3000,122.490394,119.151237,0.816603,0.148917,3000,53.008057,52.458576,0.353387,0.344116,3000,18.508404,17.106132,0.123389,0.985548,3000,18.094194,17.795214,0.120628,1.008109
3500,14000,13.6719,0.013351,3500,50000,3500,21.705989,21.158341,0.124034,3500,20.108585,19.732317,0.114906,1.079439,3500,18.929593,17.912158,0.108169,1.146670,3500,19.907407,19.513735,0.113757,1.090347,3500,21.991946,21.691068,0.125668,0.986997,3500,139.165437,135.794933,0.795231,0.155973,3500,60.194254,58.750578,0.343967,0.360599,3500,21.425393,20.682365,0.122431,1.013096,3500,21.045952,20.583446,0.120263,1.031362
4000,16000,15.6250,0.015259,4000,50000,4000,24.461564,23.364988,0.122308,4000,22.799924,21.748814,0.114000,1.072879,4000,21.234049,20.212939,0.106170,1.151997,4000,22.186090,20.878239,0.110930,1.102563,4000,23.879366,22.982932,0.119397,1.024381,4000,156.115413,153.784956,0.780577,0.156689,4000,68.605005,66.628666,0.343025,0.356557,4000,24.334305,23.458339,0.121672,1.005230,4000,23.752766,23.004214,0.118764,1.029841
4500,18000,17.5781,0.017166,4500,20000,4500,10.608629,10.042959,0.117874,4500,10.241628,10.190771,0.113796,1.035834,4500,9.683054,9.273296,0.107589,1.095587,4500,9.994892,9.842867,0.111054,1.061405,4500,10.810799,9.994199,0.120120,0.981299,4500,70.922796,66.405528,0.788031,0.149580,4500,30.666186,29.995614,0.340735,0.345939,4500,11.190741,10.692858,0.124342,0.947983,4500,10.571611,9.904522,0.117462,1.003502
5000,20000,19.5312,0.019073,5000,20000,5000,11.964121,10.872350,0.119641,5000,11.063155,10.518192,0.110632,1.081438,5000,10.590079,9.707512,0.105901,1.129748,5000,10.730210,10.219212,0.107302,1.114994,5000,11.775017,11.674778,0.117750,1.016060,5000,80.353865,78.913882,0.803539,0.148893,5000,35.033963,34.675404,0.350340,0.341501,5000,12.110531,12.018770,0.121105,0.987911,5000,11.898303,11.569592,0.118983,1.005532
5500,22000,21.4844,0.020981,5500,20000,5500,13.231030,13.028666,0.120282,5500,12.220967,11.313115,0.111100,1.082650,5500,11.938398,11.650021,0.108531,1.108275,5500,12.428429,12.254202,0.112986,1.064578,5500,13.425827,13.292992,0.122053,0.985491,5500,89.080604,86.297836,0.809824,0.148529,5500,42.447007,41.616460,0.385882,0.311707,5500,13.770819,13.419553,0.125189,0.960802,5500,13.539257,13.278526,0.123084,0.977235
6000,24000,23.4375,0.022888,6000,20000,6000,14.685887,14.347088,0.122382,6000,13.831994,13.655325,0.115267,1.061733,6000,12.904169,11.956114,0.107535,1.138073,6000,13.843177,13.017555,0.115360,1.060876,6000,14.282101,14.080043,0.119018,1.028272,6000,97.379060,95.498708,0.811492,0.150812,6000,46.182758,45.061892,0.384856,0.317995,6000,14.713166,14.393720,0.122610,0.998146,6000,14.317411,14.206255,0.119312,1.025736
6500,26000,25.3906,0.024796,6500,20000,6500,15.650024,14.413575,0.120385,6500,14.708024,14.552068,0.113139,1.064047,6500,13.990224,13.639269,0.107617,1.118640,6500,14.355936,13.795821,0.110430,1.090143,6500,15.769442,15.385913,0.121303,0.992427,6500,107.417948,103.404697,0.826292,0.145693,6500,51.984372,50.832290,0.399880,0.301052,6500,15.722837,14.768532,0.120945,0.995369,6500,15.722465,15.615295,0.120942,0.995393
