dataset,n,data_bytes,data_kb,data_mb,reference_sum,inner_loop,naive_result,naive_abs_error,naive_rel_error,naive_avg_ms,naive_min_ms,naive_time_per_elem_ns,way2_result,way2_abs_error,way2_rel_error,way2_avg_ms,way2_min_ms,way2_time_per_elem_ns,way2_speedup_vs_naive,way4_result,way4_abs_error,way4_rel_error,way4_avg_ms,way4_min_ms,way4_time_per_elem_ns,way4_speedup_vs_naive,way8_result,way8_abs_error,way8_rel_error,way8_avg_ms,way8_min_ms,way8_time_per_elem_ns,way8_speedup_vs_naive,way16_result,way16_abs_error,way16_rel_error,way16_avg_ms,way16_min_ms,way16_time_per_elem_ns,way16_speedup_vs_naive,recursive_result,recursive_abs_error,recursive_rel_error,recursive_avg_ms,recursive_min_ms,recursive_time_per_elem_ns,recursive_speedup_vs_naive,iterative_result,iterative_abs_error,iterative_rel_error,iterative_avg_ms,iterative_min_ms,iterative_time_per_elem_ns,iterative_speedup_vs_naive,divide_result,divide_abs_error,divide_rel_error,divide_avg_ms,divide_min_ms,divide_time_per_elem_ns,divide_speedup_vs_naive,stdacc_result,stdacc_abs_error,stdacc_rel_error,stdacc_avg_ms,stdacc_min_ms,stdacc_time_per_elem_ns,stdacc_speedup_vs_naive,kahan_result,kahan_abs_error,kahan_rel_error,kahan_avg_ms,kahan_min_ms,kahan_time_per_elem_ns,kahan_speedup_vs_naive
ones,1000,4000,3.9062,0.003815,1000.0000000000,30000,1000.0000000000,0.0000000000,0.0000000000,25.2394487500,21.9568190000,0.8413149583,1000.0000000000,0.0000000000,0.0000000000,9.8131862500,9.5391210000,0.3271062083,2.5719932453,1000.0000000000,0.0000000000,0.0000000000,6.2360406250,6.0205190000,0.2078680208,4.0473515597,1000.0000000000,0.0000000000,0.0000000000,5.0635903750,4.8040070000,0.1687863458,4.9844965491,1000.0000000000,0.0000000000,0.0000000000,4.8798600000,4.4367440000,0.1626620000,5.1721665683,1000.0000000000,0.0000000000,0.0000000000,91.2892927500,88.2795500000,3.0429764250,0.2764776458,1000.0000000000,0.0000000000,0.0000000000,11.3540035000,9.8951010000,0.3784667833,2.2229558719,1000.0000000000,0.0000000000,0.0000000000,17.2816281250,16.2746970000,0.5760542708,1.4604786405,1000.0000000000,0.0000000000,0.0000000000,18.6711896250,15.8476850000,0.6223729875,1.3517857864,1000.0000000000,0.0000000000,0.0000000000,77.6993142500,72.5000560000,2.5899771417,0.3248348971
ones,2000,8000,7.8125,0.007629,2000.0000000000,30000,2000.0000000000,0.0000000000,0.0000000000,41.3615482500,33.3299300000,0.6893591375,2000.0000000000,0.0000000000,0.0000000000,21.4850376250,17.4423970000,0.3580839604,1.9251326887,2000.0000000000,0.0000000000,0.0000000000,15.7732561250,13.4008990000,0.2628876021,2.6222580755,2000.0000000000,0.0000000000,0.0000000000,9.9761747500,8.5896610000,0.1662695792,4.1460328519,2000.0000000000,0.0000000000,0.0000000000,11.5746497500,9.0392260000,0.1929108292,3.5734600306,2000.0000000000,0.0000000000,0.0000000000,203.5392841250,184.2085030000,3.3923214021,0.2032116229,2000.0000000000,0.0000000000,0.0000000000,20.2338603750,17.6142790000,0.3372310063,2.0441748378,2000.0000000000,0.0000000000,0.0000000000,29.4112257500,28.7465480000,0.4901870958,1.4063184106,2000.0000000000,0.0000000000,0.0000000000,31.7228111250,30.2072980000,0.5287135188,1.3038424649,2000.0000000000,0.0000000000,0.0000000000,133.2076155000,125.6113090000,2.2201269250,0.3105043814
ones,3000,12000,11.7188,0.011444,3000.0000000000,30000,3000.0000000000,0.0000000000,0.0000000000,46.5416170000,45.4872400000,0.5171290778,3000.0000000000,0.0000000000,0.0000000000,24.5531346250,23.5256610000,0.2728126069,1.8955468502,3000.0000000000,0.0000000000,0.0000000000,15.7451055000,14.9193220000,0.1749456167,2.9559418957,3000.0000000000,0.0000000000,0.0000000000,11.8496832500,11.7021340000,0.1316631472,3.9276676024,3000.0000000000,0.0000000000,0.0000000000,12.8580965000,12.5920170000,0.1428677389,3.6196350681,3000.0000000000,0.0000000000,0.0000000000,258.0420567500,245.5128230000,2.8671339639,0.1803644630,3000.0000000000,0.0000000000,0.0000000000,28.9972686250,24.8853530000,0.3221918736,1.6050345156,3000.0000000000,0.0000000000,0.0000000000,45.4033467500,44.1021000000,0.5044816306,1.0250701838,3000.0000000000,0.0000000000,0.0000000000,48.7448582500,47.5656910000,0.5416095361,0.9548005404,3000.0000000000,0.0000000000,0.0000000000,198.6608135000,195.3869260000,2.2073423722,0.2342767865
ones,4000,16000,15.6250,0.015259,4000.0000000000,30000,4000.0000000000,0.0000000000,0.0000000000,66.4643685000,63.3520750000,0.5538697375,4000.0000000000,0.0000000000,0.0000000000,32.8517080000,31.9567660000,0.2737642333,2.0231632553,4000.0000000000,0.0000000000,0.0000000000,23.7459101250,20.7102490000,0.1978825844,2.7989817257,4000.0000000000,0.0000000000,0.0000000000,18.6288183750,15.9794470000,0.1552401531,3.5678252459,4000.0000000000,0.0000000000,0.0000000000,17.7874743750,17.1585060000,0.1482289531,3.7365826704,4000.0000000000,0.0000000000,0.0000000000,381.5728948750,334.9735310000,3.1797741240,0.1741852458,4000.0000000000,0.0000000000,0.0000000000,42.5618743750,39.4015370000,0.3546822865,1.5615940199,4000.0000000000,0.0000000000,0.0000000000,74.1935276250,72.3955950000,0.6182793969,0.8958243479,4000.0000000000,0.0000000000,0.0000000000,79.2883232500,76.7000190000,0.6607360271,0.8382617487,4000.0000000000,0.0000000000,0.0000000000,316.0512546250,310.0577970000,2.6337604552,0.2102961704
ones,5000,20000,19.5312,0.019073,5000.0000000000,10000,5000.0000000000,0.0000000000,0.0000000000,32.4378743750,31.2389510000,0.6487574875,5000.0000000000,0.0000000000,0.0000000000,15.9853133750,15.7264070000,0.3197062675,2.0292298070,5000.0000000000,0.0000000000,0.0000000000,10.7907978750,10.1241130000,0.2158159575,3.0060682028,5000.0000000000,0.0000000000,0.0000000000,8.3233496250,8.0260880000,0.1664669925,3.8972139627,5000.0000000000,0.0000000000,0.0000000000,9.0444017500,8.7145920000,0.1808880350,3.5865140970,5000.0000000000,0.0000000000,0.0000000000,171.2827723750,165.1629990000,3.4256554475,0.1893820022,5000.0000000000,0.0000000000,0.0000000000,18.4530706250,15.7759380000,0.3690614125,1.7578578132,5000.0000000000,0.0000000000,0.0000000000,29.2122431250,27.8481080000,0.5842448625,1.1104205259,5000.0000000000,0.0000000000,0.0000000000,36.0824796250,31.2440050000,0.7216495925,0.8989923839,5000.0000000000,0.0000000000,0.0000000000,129.6767757500,127.0018390000,2.5935355150,0.2501440538
ones,6000,24000,23.4375,0.022888,6000.0000000000,10000,6000.0000000000,0.0000000000,0.0000000000,35.8817150000,34.9229520000,0.5980285833,6000.0000000000,0.0000000000,0.0000000000,19.9979613750,17.7654890000,0.3332993563,1.7942686420,6000.0000000000,0.0000000000,0.0000000000,11.5690416250,11.3278430000,0.1928173604,3.1015287319,6000.0000000000,0.0000000000,0.0000000000,9.0662731250,8.8439740000,0.1511045521,3.9577138815,6000.0000000000,0.0000000000,0.0000000000,11.7177280000,9.7610050000,0.1952954667,3.0621734009,6000.0000000000,0.0000000000,0.0000000000,206.2139106250,185.0370800000,3.4368985104,0.1740023982,6000.0000000000,0.0000000000,0.0000000000,19.0570555000,17.2829040000,0.3176175917,1.8828572441,6000.0000000000,0.0000000000,0.0000000000,34.3171996250,31.4724870000,0.5719533271,1.0455898323,6000.0000000000,0.0000000000,0.0000000000,41.9643307500,39.3675850000,0.6994055125,0.8550527164,6000.0000000000,0.0000000000,0.0000000000,169.4293835000,157.2486350000,2.8238230583,0.2117797649
ones,7000,28000,27.3438,0.026703,7000.0000000000,10000,7000.0000000000,0.0000000000,0.0000000000,34.9268881250,33.0846710000,0.4989555446,7000.0000000000,0.0000000000,0.0000000000,22.3499921250,19.6035250000,0.3192856018,1.5627248515,7000.0000000000,0.0000000000,0.0000000000,19.8920568750,15.3500300000,0.2841722411,1.7558208457,7000.0000000000,0.0000000000,0.0000000000,13.1663235000,10.6655440000,0.1880903357,2.6527441867,7000.0000000000,0.0000000000,0.0000000000,13.8917027500,12.2350880000,0.1984528964,2.5142265677,7000.0000000000,0.0000000000,0.0000000000,196.2906460000,179.4920330000,2.8041520857,0.1779345518,7000.0000000000,0.0000000000,0.0000000000,18.9154461250,18.3085950000,0.2702206589,1.8464744577,7000.0000000000,0.0000000000,0.0000000000,29.1174225000,28.8045780000,0.4159631786,1.1995185400,7000.0000000000,0.0000000000,0.0000000000,33.8272347500,30.5353410000,0.4832462107,1.0325079299,7000.0000000000,0.0000000000,0.0000000000,204.5161038750,123.9389580000,2.9216586268,0.1707781806
ones,8000,32000,31.2500,0.030518,8000.0000000000,10000,8000.0000000000,0.0000000000,0.0000000000,66.7936268750,63.6104570000,0.8349203359,8000.0000000000,0.0000000000,0.0000000000,32.4231847500,29.7433090000,0.4052898094,2.0600575604,8000.0000000000,0.0000000000,0.0000000000,21.4752035000,20.8650860000,0.2684400438,3.1102674708,8000.0000000000,0.0000000000,0.0000000000,18.3118640000,16.7493610000,0.2288983000,3.6475602306,8000.0000000000,0.0000000000,0.0000000000,19.6450038750,17.5634440000,0.2455625484,3.4000312395,8000.0000000000,0.0000000000,0.0000000000,72569.3838270000,302.2749310000,907.1172978375,0.0009204106,8000.0000000000,0.0000000000,0.0000000000,25.5331847500,21.5843660000,0.3191648094,2.6159536121,8000.0000000000,0.0000000000,0.0000000000,35.1461733750,33.7037840000,0.4393271672,1.9004523241,8000.0000000000,0.0000000000,0.0000000000,43.3634295000,38.1211730000,0.5420428687,1.5403215946,8000.0000000000,0.0000000000,0.0000000000,159.5735716250,147.9683140000,1.9946696453,0.4185757466
ones,8192,32768,32.0000,0.031250,8192.0000000000,10000,8192.0000000000,0.0000000000,0.0000000000,42.9209911250,37.2892550000,0.5239378799,8192.0000000000,0.0000000000,0.0000000000,19.7691588750,18.9230770000,0.2413227402,2.1711086140,8192.0000000000,0.0000000000,0.0000000000,13.0178876250,12.0678320000,0.1589097610,3.2970780177,8192.0000000000,0.0000000000,0.0000000000,9.7354496250,9.5963870000,0.1188409378,4.4087322906,8192.0000000000,0.0000000000,0.0000000000,11.5273635000,10.1356950000,0.1407148865,3.7234005091,8192.0000000000,0.0000000000,0.0000000000,219.2303488750,207.6989180000,2.6761517197,0.1957803349,8192.0000000000,0.0000000000,0.0000000000,93.0121518750,21.6035330000,1.1354022446,0.4614557373,8192.0000000000,0.0000000000,0.0000000000,47.5299192500,34.6618120000,0.5801992096,0.9030310129,8192.0000000000,0.0000000000,0.0000000000,42.5069416250,38.0064160000,0.5188835648,1.0097407502,8192.0000000000,0.0000000000,0.0000000000,330.4974543750,162.6329230000,4.0343927536,0.1298678418
ones,9000,36000,35.1562,0.034332,9000.0000000000,10000,9000.0000000000,0.0000000000,0.0000000000,44.0638772500,42.0414160000,0.4895986361,9000.0000000000,0.0000000000,0.0000000000,23.0154520000,21.1171050000,0.2557272444,1.9145345158,9000.0000000000,0.0000000000,0.0000000000,15.4655926250,13.8415180000,0.1718399181,2.8491554329,9000.0000000000,0.0000000000,0.0000000000,12.7997562500,11.0235450000,0.1422195139,3.4425559666,9000.0000000000,0.0000000000,0.0000000000,13.0267400000,11.9036660000,0.1447415556,3.3825713302,9000.0000000000,0.0000000000,0.0000000000,293.2692322500,259.5458250000,3.2585470250,0.1502505971,9000.0000000000,0.0000000000,0.0000000000,33.4158282500,27.7856230000,0.3712869806,1.3186528528,9000.0000000000,0.0000000000,0.0000000000,39.9736985000,35.9025110000,0.4441522056,1.1023217491,9000.0000000000,0.0000000000,0.0000000000,47.5059111250,45.9171510000,0.5278434569,0.9275451456,9000.0000000000,0.0000000000,0.0000000000,189.9583553750,175.3771760000,2.1106483931,0.2319659862
