dataset,n,data_bytes,data_kb,data_mb,reference_sum,inner_loop,naive_result,naive_abs_error,naive_rel_error,naive_avg_ms,naive_min_ms,naive_time_per_elem_ns,way2_result,way2_abs_error,way2_rel_error,way2_avg_ms,way2_min_ms,way2_time_per_elem_ns,way2_speedup_vs_naive,way4_result,way4_abs_error,way4_rel_error,way4_avg_ms,way4_min_ms,way4_time_per_elem_ns,way4_speedup_vs_naive,way8_result,way8_abs_error,way8_rel_error,way8_avg_ms,way8_min_ms,way8_time_per_elem_ns,way8_speedup_vs_naive,way16_result,way16_abs_error,way16_rel_error,way16_avg_ms,way16_min_ms,way16_time_per_elem_ns,way16_speedup_vs_naive,recursive_result,recursive_abs_error,recursive_rel_error,recursive_avg_ms,recursive_min_ms,recursive_time_per_elem_ns,recursive_speedup_vs_naive,iterative_result,iterative_abs_error,iterative_rel_error,iterative_avg_ms,iterative_min_ms,iterative_time_per_elem_ns,iterative_speedup_vs_naive,divide_result,divide_abs_error,divide_rel_error,divide_avg_ms,divide_min_ms,divide_time_per_elem_ns,divide_speedup_vs_naive,stdacc_result,stdacc_abs_error,stdacc_rel_error,stdacc_avg_ms,stdacc_min_ms,stdacc_time_per_elem_ns,stdacc_speedup_vs_naive,kahan_result,kahan_abs_error,kahan_rel_error,kahan_avg_ms,kahan_min_ms,kahan_time_per_elem_ns,kahan_speedup_vs_naive
ones,1000,4000,3.9062,0.003815,1000.0000000000,30000,1000.0000000000,0.0000000000,0.0000000000,24.6300483750,22.5498840000,0.8210016125,1000.0000000000,0.0000000000,0.0000000000,13.1795730000,12.4728790000,0.4393191000,1.8688047310,1000.0000000000,0.0000000000,0.0000000000,8.2123222500,7.7766500000,0.2737440750,2.9991575617,1000.0000000000,0.0000000000,0.0000000000,5.2449141250,4.9273480000,0.1748304708,4.6959869672,1000.0000000000,0.0000000000,0.0000000000,4.7369311250,4.6203970000,0.1578977042,5.1995791632,1000.0000000000,0.0000000000,0.0000000000,78.0940487500,75.0454120000,2.6031349583,0.3153895690,1000.0000000000,0.0000000000,0.0000000000,13.6890926250,10.8632720000,0.4563030875,1.7992462357,1000.0000000000,0.0000000000,0.0000000000,19.3037250000,16.4573500000,0.6434575000,1.2759220500,1000.0000000000,0.0000000000,0.0000000000,17.4188777500,16.8464220000,0.5806292583,1.4139859484,1000.0000000000,0.0000000000,0.0000000000,80.3829562500,72.7959390000,2.6794318750,0.3064088399
ones,1024,4096,4.0000,0.003906,1024.0000000000,30000,1024.0000000000,0.0000000000,0.0000000000,17.0116531250,14.7889090000,0.5537647502,1024.0000000000,0.0000000000,0.0000000000,8.3518515000,8.0016190000,0.2718701660,2.0368720786,1024.0000000000,0.0000000000,0.0000000000,5.3386118750,5.0427300000,0.1737829386,3.1865311664,1024.0000000000,0.0000000000,0.0000000000,4.2282607500,4.0270060000,0.1376386963,4.0233216755,1024.0000000000,0.0000000000,0.0000000000,4.5377476250,4.2774530000,0.1477131388,3.7489200658,1024.0000000000,0.0000000000,0.0000000000,76.7545253750,67.6585680000,2.4985197062,0.2216371353,1024.0000000000,0.0000000000,0.0000000000,11.7252308750,10.9049000000,0.3816806925,1.4508586915,1024.0000000000,0.0000000000,0.0000000000,18.4758527500,17.0994280000,0.6014274984,0.9207506336,1024.0000000000,0.0000000000,0.0000000000,18.7999607500,16.9879830000,0.6119778890,0.9048770554,1024.0000000000,0.0000000000,0.0000000000,84.4436573750,78.9091580000,2.7488169718,0.2014556647
ones,1500,6000,5.8594,0.005722,1500.0000000000,30000,1500.0000000000,0.0000000000,0.0000000000,32.6019716250,28.0434510000,0.7244882583,1500.0000000000,0.0000000000,0.0000000000,15.4816793750,14.4918400000,0.3440373194,2.1058420624,1500.0000000000,0.0000000000,0.0000000000,10.8000278750,9.1497620000,0.2400006194,3.0186932851,1500.0000000000,0.0000000000,0.0000000000,8.6542297500,7.2251820000,0.1923162167,3.7671719572,1500.0000000000,0.0000000000,0.0000000000,8.6928308750,7.6117570000,0.1931740194,3.7504435659,1500.0000000000,0.0000000000,0.0000000000,122.7737826250,108.5224530000,2.7283062806,0.2655450612,1500.0000000000,0.0000000000,0.0000000000,210.6478192500,15.9021110000,4.6810626500,0.1547700410,1500.0000000000,0.0000000000,0.0000000000,25.7869481250,22.8948710000,0.5730432917,1.2642818944,1500.0000000000,0.0000000000,0.0000000000,30.7786390000,27.4146170000,0.6839697556,1.0592401966,1500.0000000000,0.0000000000,0.0000000000,122.2637906250,109.7866990000,2.7169731250,0.2666527143
ones,1536,6144,6.0000,0.005859,1536.0000000000,30000,1536.0000000000,0.0000000000,0.0000000000,32.8525460000,30.8471180000,0.7129458767,1536.0000000000,0.0000000000,0.0000000000,15.2766588750,13.3209780000,0.3315247152,2.1505059626,1536.0000000000,0.0000000000,0.0000000000,9.2450051250,7.5970550000,0.2006294515,3.5535454611,1536.0000000000,0.0000000000,0.0000000000,6.5000667500,5.9982300000,0.1410604763,5.0541859436,1536.0000000000,0.0000000000,0.0000000000,9.3742493750,6.9220820000,0.2034342312,3.5045521711,1536.0000000000,0.0000000000,0.0000000000,113.3350656250,102.0916790000,2.4595283339,0.2898709752,1536.0000000000,0.0000000000,0.0000000000,15.2173775000,13.9698740000,0.3302382270,2.1588835527,1536.0000000000,0.0000000000,0.0000000000,27.4944147500,23.3142100000,0.5966669868,1.1948807166,1536.0000000000,0.0000000000,0.0000000000,26.7789987500,22.6444190000,0.5811414659,1.2268026264,1536.0000000000,0.0000000000,0.0000000000,108.4036747500,96.3639170000,2.3525103027,0.3030574939
ones,2000,8000,7.8125,0.007629,2000.0000000000,30000,2000.0000000000,0.0000000000,0.0000000000,36.4884478750,34.5676310000,0.6081407979,2000.0000000000,0.0000000000,0.0000000000,23.6089045000,19.7647590000,0.3934817417,1.5455375270,2000.0000000000,0.0000000000,0.0000000000,12.4497710000,12.1782080000,0.2074961833,2.9308529350,2000.0000000000,0.0000000000,0.0000000000,9.7065366250,9.5964580000,0.1617756104,3.7591624371,2000.0000000000,0.0000000000,0.0000000000,10.8636623750,10.3772680000,0.1810610396,3.3587612184,2000.0000000000,0.0000000000,0.0000000000,163.6238846250,143.7278640000,2.7270647438,0.2230019655,2000.0000000000,0.0000000000,0.0000000000,23.2471716250,20.0959870000,0.3874528604,1.5695865486,2000.0000000000,0.0000000000,0.0000000000,39.0949020000,35.4049970000,0.6515817000,0.9333300765,2000.0000000000,0.0000000000,0.0000000000,40.7844908750,37.8398370000,0.6797415146,0.8946647878,2000.0000000000,0.0000000000,0.0000000000,157.5864093750,130.9620230000,2.6264401563,0.2315456518
ones,2048,8192,8.0000,0.007812,2048.0000000000,30000,2048.0000000000,0.0000000000,0.0000000000,31.6155712500,31.0923790000,0.5145763550,2048.0000000000,0.0000000000,0.0000000000,16.7866745000,16.0315400000,0.2732206136,1.8833731035,2048.0000000000,0.0000000000,0.0000000000,11.8398140000,10.2449240000,0.1927053060,2.6702760069,2048.0000000000,0.0000000000,0.0000000000,8.4966596250,7.9866150000,0.1382919861,3.7209412458,2048.0000000000,0.0000000000,0.0000000000,8.9665930000,8.6459570000,0.1459406413,3.5259291071,2048.0000000000,0.0000000000,0.0000000000,154.5165493750,141.4104660000,2.5149177958,0.2046096122,2048.0000000000,0.0000000000,0.0000000000,21.3245523750,20.0798010000,0.3470793030,1.4825901475,2048.0000000000,0.0000000000,0.0000000000,41.5335821250,38.1587660000,0.6760023132,0.7612050209,2048.0000000000,0.0000000000,0.0000000000,41.6999173750,37.7126370000,0.6787095927,0.7581686785,2048.0000000000,0.0000000000,0.0000000000,168.3218548750,160.0175100000,2.7396135234,0.1878280825
ones,2500,10000,9.7656,0.009537,2500.0000000000,30000,2500.0000000000,0.0000000000,0.0000000000,49.5977782500,46.4472390000,0.6613037100,2500.0000000000,0.0000000000,0.0000000000,25.6516650000,23.8653550000,0.3420222000,1.9335110703,2500.0000000000,0.0000000000,0.0000000000,17.1847513750,15.3565940000,0.2291300183,2.8861504695,2500.0000000000,0.0000000000,0.0000000000,12.4136141250,11.9607480000,0.1655148550,3.9954341863,2500.0000000000,0.0000000000,0.0000000000,13.2459190000,12.8594500000,0.1766122533,3.7443818168,2500.0000000000,0.0000000000,0.0000000000,191.2505883750,162.6360360000,2.5500078450,0.2593339904,2500.0000000000,0.0000000000,0.0000000000,22.5377322500,20.7459830000,0.3005030967,2.2006552256,2500.0000000000,0.0000000000,0.0000000000,38.5130211250,34.3272640000,0.5135069483,1.2878184261,2500.0000000000,0.0000000000,0.0000000000,43.6943143750,38.1271080000,0.5825908583,1.1351082849,2500.0000000000,0.0000000000,0.0000000000,188.6480313750,160.0015130000,2.5153070850,0.2629117192
ones,2560,10240,10.0000,0.009766,2560.0000000000,30000,2560.0000000000,0.0000000000,0.0000000000,53.8407260000,47.9421280000,0.7010511198,2560.0000000000,0.0000000000,0.0000000000,28.9239590000,25.4148370000,0.3766140495,1.8614576933,2560.0000000000,0.0000000000,0.0000000000,16.0153843750,15.6092820000,0.2085336507,3.3618129131,2560.0000000000,0.0000000000,0.0000000000,13.7374315000,12.2194810000,0.1788728060,3.9192716630,2560.0000000000,0.0000000000,0.0000000000,12.6871180000,11.8126620000,0.1651968490,4.2437317916,2560.0000000000,0.0000000000,0.0000000000,208.8796333750,177.8230320000,2.7197868929,0.2577595773,2560.0000000000,0.0000000000,0.0000000000,27.3712666250,23.4135870000,0.3563967008,1.9670527761,2560.0000000000,0.0000000000,0.0000000000,36.5059660000,35.3071640000,0.4753380990,1.4748473167,2560.0000000000,0.0000000000,0.0000000000,47.5713565000,41.0519570000,0.6194187044,1.1317887477,2560.0000000000,0.0000000000,0.0000000000,196.8806743750,173.9701000000,2.5635504476,0.2734688215
ones,3000,12000,11.7188,0.011444,3000.0000000000,30000,3000.0000000000,0.0000000000,0.0000000000,49.2242421250,46.3116630000,0.5469360236,3000.0000000000,0.0000000000,0.0000000000,25.6870521250,23.9645110000,0.2854116903,1.9163056113,3000.0000000000,0.0000000000,0.0000000000,17.6875721250,14.9844220000,0.1965285792,2.7829846729,3000.0000000000,0.0000000000,0.0000000000,16.1416115000,13.5472120000,0.1793512389,3.0495246478,3000.0000000000,0.0000000000,0.0000000000,14.5803583750,13.8221140000,0.1620039819,3.3760653105,3000.0000000000,0.0000000000,0.0000000000,233.6310112500,208.8027980000,2.5959001250,0.2106922444,3000.0000000000,0.0000000000,0.0000000000,29.9788032500,26.6962540000,0.3330978139,1.6419682172,3000.0000000000,0.0000000000,0.0000000000,51.4208333750,46.2748870000,0.5713425931,0.9572820760,3000.0000000000,0.0000000000,0.0000000000,52.7881913750,49.7711690000,0.5865354597,0.9324858618,3000.0000000000,0.0000000000,0.0000000000,204.5042577500,191.5310820000,2.2722695306,0.2407003290
ones,3072,12288,12.0000,0.011719,3072.0000000000,30000,3072.0000000000,0.0000000000,0.0000000000,48.8117382500,47.5920130000,0.5296412571,3072.0000000000,0.0000000000,0.0000000000,28.5991847500,24.7664790000,0.3103210151,1.7067527860,3072.0000000000,0.0000000000,0.0000000000,18.2450403750,17.5058500000,0.1979713582,2.6753428464,3072.0000000000,0.0000000000,0.0000000000,15.0658542500,13.7959950000,0.1634749810,3.2398918402,3072.0000000000,0.0000000000,0.0000000000,17.5104826250,15.0164890000,0.1900008965,2.7875724099,3072.0000000000,0.0000000000,0.0000000000,254.1088141250,229.3705430000,2.7572570977,0.1920899061,3072.0000000000,0.0000000000,0.0000000000,33.2854767500,31.0381410000,0.3611705377,1.4664575369,3072.0000000000,0.0000000000,0.0000000000,58.5840120000,53.3403700000,0.6356772135,0.8331921387,3072.0000000000,0.0000000000,0.0000000000,65.6787496250,57.9783470000,0.7126600437,0.7431892131,3072.0000000000,0.0000000000,0.0000000000,244.4274397500,227.3848750000,2.6522074626,0.1996982757
